iter	RMSE
135	2.339669412
136	2.332171253
137	2.322549766
138	2.315159503
139	2.308289515
140	2.300762993
141	2.293348316
142	2.28524129
143	2.280245506
144	2.273120896
145	2.264326457
146	2.257858241
147	2.250193023
148	2.241478068
149	2.231884592
150	2.223126369
151	2.218314267
152	2.206464361
153	2.196504715
154	2.190698387
155	2.183233742
156	2.179446773
157	2.168705056
158	2.160923617
159	2.151646705
160	2.142436812
161	2.132184578
162	2.123534049
163	2.119239416
164	2.115295553
165	2.1089116
166	2.101721127
167	2.094666762
168	2.089927207
169	2.082990929
170	2.076251905
171	2.06942373
172	2.0644252
173	2.058316292
174	2.05252043
175	2.044814202
176	2.034538883
177	2.028339102
178	2.024496139
179	2.019989242
180	2.01133893
181	2.006526341
182	2.001035331
183	1.994930881
184	1.989681848
185	1.983328728
186	1.975163643
187	1.967326816
188	1.962379134
189	1.954593817
190	1.94753243
191	1.941577118
192	1.935131887
193	1.929338917
194	1.924562901
195	1.921902302
196	1.913751762
197	1.907562075
198	1.902141563
199	1.896796941
200	1.89067767
201	1.886070432
202	1.879558735
203	1.87634513
204	1.871378753
205	1.865824344
206	1.861045177
207	1.857528809
208	1.854709705
209	1.850841832
210	1.845881432
211	1.841887759
212	1.838712769
213	1.832808273
214	1.825312431
215	1.818010653
216	1.811256483
217	1.805876985
218	1.798949447
219	1.794377294
220	1.790588591
221	1.784795951
222	1.783074033
223	1.775958524
224	1.770808794
225	1.764955143
226	1.760708727
227	1.755087948
228	1.750269116
229	1.7473558
230	1.744712622
231	1.738774245
232	1.733791596
233	1.727804416
234	1.725498186
235	1.718782314
236	1.715666895
237	1.708883628
238	1.705943112
239	1.701466361
240	1.696637217
241	1.690933389
242	1.683191006
243	1.680652191
244	1.679598523
245	1.675801383
246	1.671277574
247	1.667278804
248	1.663117381
249	1.657505649
250	1.652802649
251	1.648086822
252	1.643463303
253	1.63807298
254	1.63649712
255	1.63266696
256	1.628088721
257	1.62343141
258	1.619754977
259	1.615928605
260	1.612503784
261	1.611094901
262	1.60490162
263	1.603053569
264	1.599880563
265	1.595520077
266	1.590986759
267	1.58756572
268	1.58224887
269	1.576178473
270	1.572354188
271	1.568055238
272	1.56498962
273	1.560982445
274	1.555363913
275	1.549592898
276	1.546727248
277	1.543346541
278	1.540813025
279	1.536746789
280	1.532129207
281	1.531186
282	1.526327517
283	1.525337841
284	1.520457968
285	1.515774252
286	1.511307844
287	1.504894818
288	1.501164748
289	1.500078931
290	1.495391529
291	1.493726343
292	1.490781377
293	1.487501636
294	1.485811224
295	1.481931014
296	1.478919073
297	1.475120973
298	1.471665294
299	1.467576825
300	1.46339926
301	1.46010779
302	1.456117968
303	1.452674581
304	1.448761697
305	1.444144928
306	1.441873015
307	1.440093397
308	1.43855364
309	1.435746591
310	1.434385875
311	1.430619504
312	1.42592298
313	1.424783919
314	1.420819156
315	1.41760794
316	1.414249355
317	1.409297682
318	1.407463714
319	1.403567397
320	1.400756727
321	1.396247735
322	1.39165398
323	1.389048062
324	1.38614212
325	1.385293226
326	1.382736583
327	1.37902897
328	1.37763707
329	1.376562419
330	1.374912314
331	1.373035919
332	1.370868368
333	1.36846418
334	1.366819534
335	1.364154894
336	1.361882053
337	1.35934265
338	1.357236241
339	1.353789492
340	1.348805469
341	1.344194687
342	1.340436109
343	1.337288797
344	1.335740137
345	1.333973801
346	1.33049223
347	1.327083218
348	1.324809397
349	1.323078788
350	1.319936
351	1.317729301
352	1.315116988
353	1.310772129
354	1.308645264
355	1.305689791
356	1.302698869
357	1.301307628
358	1.298243621
359	1.29716646
360	1.29378793
361	1.290222868
362	1.287248691
363	1.283335536
364	1.278814988
365	1.276243788
366	1.273776009
367	1.271726203
368	1.269542992
369	1.268937453
370	1.267126505
371	1.264009896
372	1.261777393
373	1.258589734
374	1.255678617
375	1.253304591
376	1.252385468
377	1.250396156
378	1.247605676
379	1.243981629
380	1.240738424
381	1.236735859
382	1.235581329
383	1.233170395
384	1.230914017
385	1.227578081
386	1.225366456
387	1.224540383
388	1.222325072
389	1.218872643
390	1.216299141
391	1.213071068
392	1.210340977
393	1.207539875
394	1.20467039
395	1.203280386
396	1.201891623
397	1.199051526
398	1.197533245
399	1.194764806
400	1.191480155
401	1.188221854
402	1.186099516
403	1.18401515
404	1.180779998
405	1.178829046
406	1.17522333
407	1.172959456
408	1.169349842
409	1.165747134
410	1.162505068
411	1.161321521
412	1.159324442
413	1.156991485
414	1.15485473
415	1.154150705
416	1.153132462
417	1.150756371
418	1.148992748
419	1.146937871
420	1.144012046
421	1.141422766
422	1.138655846
423	1.137652304
424	1.136948044
425	1.133641079
426	1.131732231
427	1.128732833
428	1.127171408
429	1.125124738
430	1.122830244
431	1.119400319
432	1.116778146
433	1.114384193
434	1.111685148
435	1.109644462
436	1.107123344
437	1.104251118
438	1.100955181
439	1.098338715
440	1.096334109
441	1.093939389
442	1.091454064
443	1.090232188
444	1.086510633
445	1.083259296
446	1.081147094
447	1.078176332
448	1.076362388
449	1.074541394
450	1.073869297
451	1.071810251
452	1.069794679
453	1.067547613
454	1.064933102
455	1.063329327
456	1.060579802
457	1.057877781
458	1.057023354
459	1.056621376
460	1.055825161
461	1.053176715
462	1.051423803
463	1.048503089
464	1.046270363
465	1.045479293
466	1.043422152
467	1.041945986
468	1.039675922
469	1.038205745
470	1.035999781
471	1.033898648
472	1.03326834
473	1.032538171
474	1.031522519
475	1.029177211
476	1.026471127
477	1.023853595
478	1.022114825
479	1.020264578
480	1.017687469
481	1.014985339
482	1.013958745
483	1.01121926
484	1.009771636
485	1.008905459
486	1.007622901
487	1.00654958
488	1.00489992
489	1.00353158
490	1.001432072
491	0.9988993431
492	0.9984809681
493	0.9959998891
494	0.9937738694
495	0.9926897666
496	0.9906222679
497	0.9896963637
498	0.9879135956
499	0.9866463286
500	0.985067152
501	0.9833936675
502	0.9806676353
503	0.9790633833
504	0.977187706
505	0.9757943466
506	0.9730312233
507	0.970407475
508	0.9681325511
509	0.9662144667
510	0.9651006242
511	0.9630972062
512	0.9615200536
513	0.9596699795
514	0.9580090627
515	0.9553705267
516	0.9534849734
517	0.9526477885
518	0.9521735338
519	0.9512258978
520	0.9486695494
521	0.947040664
522	0.9461456796
523	0.9455521076
524	0.9451740062
525	0.9438435236
526	0.9412560272
527	0.9390315423
528	0.9359810797
529	0.9329425333
530	0.9312161722
531	0.9296263903
532	0.9279603813
533	0.9253266321
534	0.9237729984
535	0.922355152
536	0.9210652017
537	0.9186353275
538	0.917868937
539	0.9154998647
540	0.9147798914
541	0.9120639057
542	0.9094870078
543	0.9085103471
544	0.9060925114
545	0.9040711568
546	0.9029038746
547	0.901060253
548	0.8991897508
549	0.8986157644
550	0.8984295441
551	0.8958002185
552	0.8947066138
553	0.8935333799
554	0.8929768639
555	0.8918520878
556	0.8903984271
557	0.8888038783
558	0.8868869449
559	0.8854229419
560	0.8834680772
561	0.8821053881
562	0.8800263507
563	0.8783928785
564	0.8762216792
565	0.8747355342
566	0.8731018834
567	0.8722593914
568	0.8712423651
569	0.8704046435
570	0.8677477978
571	0.8657385189
572	0.8640285551
573	0.8631255732
574	0.8616328149
575	0.8593153871
576	0.8575651551
577	0.8562214596
578	0.854953565
579	0.8530169659
580	0.8511999102
581	0.8495023777
582	0.8488313218
583	0.8481528024
584	0.8472085225
585	0.8468908598
586	0.8453259392
587	0.8434690412
588	0.8432523758
589	0.8430692091
590	0.8420244263
591	0.8407843733
592	0.8399036588
593	0.8389130213
594	0.8377485881
595	0.8355269674
596	0.8337161341
597	0.8322342758
598	0.8317314335
599	0.8294576513
600	0.828175867
601	0.8270140003
602	0.8260311674
603	0.8248604565
604	0.8230297465
605	0.8227458351
606	0.8214911146
607	0.819834328
608	0.8185215768
609	0.8177943229
610	0.8159324857
611	0.8151701832
612	0.8128780321
613	0.8107065756
614	0.8089244548
615	0.8072601102
616	0.8060447472
617	0.8037104667
618	0.8015554477
619	0.8000538687
620	0.7986100277
621	0.7967495966
622	0.7954805282
623	0.7940220318
624	0.7923552242
625	0.7903300439
626	0.7895781016
627	0.7887907139
628	0.7874378791
629	0.785711567
630	0.7835974719
631	0.7821501454
632	0.781184536
633	0.7794775957
634	0.7780472856
635	0.776373252
636	0.7744940813
637	0.7743763699
638	0.7733853839
639	0.7720579786
640	0.7708509098
641	0.7692996228
642	0.7675931768
643	0.765803255
644	0.765614712
645	0.7646374351
646	0.7636423041
647	0.7620476545
648	0.7606914224
649	0.7591632365
650	0.757842699
651	0.7559136944
652	0.7542309296
653	0.7526370187
654	0.7515232328
655	0.7504839166
656	0.7485670591
657	0.7468845239
658	0.7454514962
659	0.7440593569
660	0.7430350144
661	0.7420848208
662	0.7401962286
663	0.7389547675
664	0.737659867
665	0.7366853084
666	0.7364747682
667	0.7347964155
668	0.7345623682
669	0.7333334586
670	0.7312390859
671	0.7302438861
672	0.7293999642
673	0.7281735155
674	0.7280557434
675	0.7261178932
676	0.7244097147
677	0.7234744521
678	0.7218176771
679	0.7207908956
680	0.7197644879
681	0.7184181109
682	0.7172215079
683	0.7151152294
684	0.7141357359
685	0.7128215141
686	0.7111724275
687	0.7105318048
688	0.7097579514
689	0.7095683934
690	0.7091877101
691	0.7076932721
692	0.7074938681
693	0.7061164664
694	0.7050003963
695	0.703360513
696	0.7017488398
697	0.7003706751
698	0.6994748044
699	0.6992728625
700	0.6984016921
701	0.6975955718
702	0.6974113293
703	0.6972190882
704	0.6960878099
705	0.695737946
706	0.6947853801
707	0.6941483091
708	0.692997864
709	0.6920766923
710	0.6910771819
711	0.6891757318
712	0.6889939471
713	0.687545004
714	0.6867703596
715	0.6861547435
716	0.6852735796
717	0.6843412924
718	0.6832660834
719	0.6810557279
720	0.6801864494
721	0.6794446174
722	0.6793416932
723	0.6778103477
724	0.6767355955
725	0.6755821209
726	0.6750065018
727	0.6736847969
728	0.6722078743
729	0.6707240433
730	0.6695053524
731	0.6682634743
732	0.6667102959
733	0.6655781221
734	0.6642096376
735	0.6635429504
736	0.6633100041
737	0.6619677994
738	0.6607816752
739	0.658910252
740	0.6579108036
741	0.6564056116
742	0.655479732
743	0.6538677518
744	0.6526162456
745	0.6513559026
746	0.6498557093
747	0.6487547433
748	0.6485786643
749	0.6479071189
750	0.6477562438
751	0.6470109253
752	0.6458302509
753	0.6456275365
754	0.6448203407
755	0.6436274018
756	0.6424208528
757	0.6406290572
758	0.6404772415
759	0.6403738284
760	0.6394952408
761	0.6382786778
762	0.6381493468
763	0.6370802888
764	0.636642392
765	0.6354124646
766	0.6346926688
767	0.6335179663
768	0.6320607984
769	0.6305658588
770	0.6295757519
771	0.6294227514
772	0.6289213268
773	0.6274556982
774	0.6263228184
775	0.6248060575
776	0.623808772
777	0.6231302147
778	0.6218934156
779	0.621354325
780	0.6198737438
781	0.6184598357
782	0.616899971
783	0.6163301918
784	0.6156004229
785	0.6151221994
786	0.6135883722
787	0.6125249776
788	0.6122775123
789	0.6118916961
790	0.6111380343
791	0.6103297471
792	0.6093917214
793	0.6092373075
794	0.608435025
795	0.6083373617
796	0.6078548689
797	0.607710345
798	0.6059917473
799	0.6050300678
800	0.6042144186
801	0.6033686206
802	0.6026405728
803	0.6020624002
804	0.6011651574
805	0.6010242947
806	0.6002555365
807	0.5993315391
808	0.5991568742
809	0.5981374983
810	0.5969017692
811	0.59579891
812	0.5953491983
813	0.5942455807
814	0.5933538686
815	0.5923394984
816	0.5912547559
817	0.5905562058
818	0.5893878212
819	0.5892608629
820	0.5888735335
821	0.5880036635
822	0.5866476969
823	0.5860740854
824	0.5851020681
825	0.5847085927
826	0.583761264
827	0.5825959358
828	0.581351461
829	0.5805691735
830	0.5798246555
831	0.579697802
832	0.5789225092
833	0.5788036004
834	0.5781137423
835	0.5766494734
836	0.5757482598
837	0.5746540244
838	0.5737517445
839	0.5727374547
840	0.5718426528
841	0.5704077687
842	0.5690845049
843	0.5680496009
844	0.5671458311
845	0.566336822
846	0.5656492937
847	0.5647131535
848	0.5632179956
849	0.5627733848
850	0.5619463679
851	0.5617907662
852	0.5609212788
853	0.5604475064
854	0.5603512552
855	0.5596652348
856	0.5586497831
857	0.5574420171
858	0.5563911182
859	0.5562637629
860	0.555288216
861	0.5546162244
862	0.5533219759
863	0.5522259875
864	0.5512199192
865	0.5500216283
866	0.5492963589
867	0.5480392801
868	0.5472815751
869	0.5466202879
870	0.5455650758
871	0.5447741092
872	0.5443749257
873	0.5430091087
874	0.5421035343
875	0.5411516494
876	0.5400634607
877	0.5394787681
878	0.5387126222
879	0.5384374723
880	0.5376675263
881	0.5373262381
882	0.5362132673
883	0.5356110233
884	0.5348625982
885	0.5340571326
886	0.5332602284
887	0.5317302112
888	0.5309892461
889	0.5300342051
890	0.5297522073
891	0.5296622421
892	0.5289878468
893	0.5283002999
894	0.5281747348
895	0.5276604311
896	0.5265426147
897	0.5257424938
898	0.525261351
899	0.5249543501
900	0.5248646093
901	0.5240538474
902	0.5231595666
903	0.523050573
904	0.5225910682
905	0.5216145899
906	0.5212829311
907	0.5200917159
908	0.5198221706
909	0.5188379461
910	0.5185006304
911	0.5180623508
912	0.5173882209
913	0.5166743537
914	0.5162048283
915	0.5157153394
916	0.5156332295
917	0.514773645
918	0.5141115223
919	0.5132197329
920	0.512077485
921	0.511526419
922	0.5104105913
923	0.5095158567
924	0.5094396054
925	0.5086206549
926	0.5080869234
927	0.5074701867
928	0.5059824978
929	0.5047861091
930	0.5039053863
931	0.5033475738
932	0.502828948
933	0.5020258422
934	0.5019578084
935	0.5009549565
936	0.5003971076
937	0.5003425021
938	0.5000125727
939	0.4989365568
940	0.4979460665
941	0.4969291913
942	0.4961400238
943	0.4960696963
944	0.495635775
945	0.4955169345
946	0.4943932167
947	0.4936729692
948	0.4925885671
949	0.4919072224
950	0.4907991966
951	0.489550641
952	0.4890598034
953	0.4884761842
954	0.4877712021
955	0.487709439
956	0.4867067764
957	0.4861407911
958	0.4856080181
959	0.485535111
960	0.484325098
961	0.4834233424
962	0.4824746131
963	0.4817974681
964	0.4806703464
965	0.4797964969
966	0.478963787
967	0.4783533667
968	0.477411962
969	0.4768770506
970	0.4757313973
971	0.4749403501
972	0.473860576
973	0.4728842377
974	0.4721787442
975	0.4713870381
976	0.4708288708
977	0.470299946
978	0.4697702528
979	0.4696799059
980	0.4690436439
981	0.4680976051
982	0.467328028
983	0.4672720917
984	0.4665225797
985	0.4660816701
986	0.4650944395
987	0.4648359593
988	0.4635057865
989	0.4634412713
990	0.4631110274
991	0.4625603397
992	0.4617529345
993	0.4608234833
994	0.460090946
995	0.4591304836
996	0.458848887
997	0.457741599
998	0.4576167023
999	0.4573342452
